Follower Athlete ID,Follow Status,Created At
1828821,Accepted,"28 Jun 2014, 12:25:09"
5421752,Accepted,"29 Jun 2014, 16:31:31"
1212167,Accepted,"4 Jul 2014, 08:01:13"
5412155,Accepted,"8 Jul 2014, 11:22:50"
2540554,Accepted,"8 Jul 2014, 12:48:26"
5608413,Accepted,"12 Jul 2014, 17:57:25"
5636830,Accepted,"14 Jul 2014, 17:20:05"
5838154,Accepted,"30 Jul 2014, 19:35:22"
5411619,Accepted,"3 Aug 2014, 21:17:45"
3703744,Accepted,"11 Sep 2014, 15:06:17"
2653597,Accepted,"22 Sep 2014, 11:59:31"
5690701,Accepted,"26 Sep 2014, 15:34:22"
2116029,Accepted,"3 Oct 2014, 15:50:22"
4080671,Accepted,"4 Oct 2014, 15:09:38"
7808376,Accepted,"4 Mar 2015, 18:13:46"
784533,Accepted,"18 Mar 2015, 21:10:18"
5260339,Accepted,"7 Apr 2015, 20:55:44"
10185461,Accepted,"10 Jul 2015, 23:14:16"
3890315,Accepted,"5 Aug 2015, 19:35:45"
11423342,Accepted,"20 Sep 2015, 07:36:08"
1753569,Accepted,"12 Nov 2015, 21:27:07"
11530456,Accepted,"21 Dec 2015, 10:58:59"
15351202,Accepted,"22 May 2016, 14:29:20"
2430476,Accepted,"28 Jun 2016, 05:20:24"
12564103,Accepted,"5 Jul 2016, 05:02:20"
18721536,Accepted,"11 Dec 2016, 15:27:36"
8886691,Accepted,"7 Jan 2017, 13:41:27"
1976634,Accepted,"30 Jan 2017, 22:20:12"
7164957,Accepted,"7 Mar 2017, 09:13:43"
20615283,Accepted,"22 Mar 2017, 07:51:30"
20853045,Accepted,"2 Apr 2017, 10:34:54"
5187822,Accepted,"2 Apr 2017, 20:56:12"
21274286,Accepted,"17 Apr 2017, 20:08:57"
385144,Accepted,"1 May 2017, 10:19:37"
607935,Accepted,"22 Jun 2017, 08:15:38"
9449603,Accepted,"24 Jun 2017, 20:15:40"
3152569,Accepted,"25 Jun 2017, 11:48:57"
5265931,Accepted,"25 Jun 2017, 15:04:28"
1469391,Accepted,"30 Jun 2017, 18:12:46"
19096474,Accepted,"24 Jul 2017, 16:39:56"
16005201,Accepted,"7 Aug 2017, 06:14:23"
24257862,Accepted,"17 Aug 2017, 07:31:35"
1302540,Accepted,"17 Aug 2017, 21:30:25"
9120124,Accepted,"19 Aug 2017, 10:11:57"
2078327,Accepted,"29 Aug 2017, 05:26:09"
8266881,Accepted,"9 Sep 2017, 20:54:45"
7407358,Accepted,"7 Oct 2017, 20:59:13"
18007608,Accepted,"8 Oct 2017, 00:32:17"
24450306,Accepted,"25 Oct 2017, 16:56:58"
17957880,Accepted,"30 Nov 2017, 19:30:53"
11032572,Accepted,"14 Dec 2017, 15:01:55"
5436959,Accepted,"16 Dec 2017, 04:25:45"
11957333,Accepted,"31 Dec 2017, 19:33:34"
25430243,Accepted,"14 Jan 2018, 17:36:43"
26185697,Accepted,"6 Feb 2018, 07:58:45"
28747478,Accepted,"5 Mar 2018, 17:35:33"
23542050,Accepted,"10 Mar 2018, 10:17:01"
27180703,Accepted,"16 Mar 2018, 20:01:36"
16904115,Accepted,"21 Mar 2018, 22:13:39"
23804146,Accepted,"10 Apr 2018, 08:38:17"
25868146,Accepted,"29 May 2018, 01:25:01"
15109901,Accepted,"28 Jun 2018, 13:26:26"
32333995,Accepted,"2 Jul 2018, 10:04:21"
3143656,Accepted,"14 Jul 2018, 21:29:59"
25148939,Accepted,"16 Jul 2018, 19:43:58"
33003585,Accepted,"23 Jul 2018, 00:21:48"
5795838,Accepted,"28 Jul 2018, 16:57:29"
34035269,Accepted,"22 Aug 2018, 04:57:34"
12535160,Accepted,"22 Sep 2018, 12:02:20"
4552572,Accepted,"7 Dec 2018, 19:02:08"
12649544,Accepted,"21 Dec 2018, 18:41:40"
37801898,Accepted,"4 Jan 2019, 10:55:35"
1195918,Accepted,"20 Jan 2019, 19:52:32"
19766653,Accepted,"28 Jan 2019, 14:53:33"
9799576,Accepted,"6 Feb 2019, 22:54:15"
39316667,Accepted,"16 Feb 2019, 21:37:57"
39555124,Accepted,"24 Feb 2019, 10:57:40"
38121110,Accepted,"25 Feb 2019, 12:37:53"
41190548,Accepted,"22 Apr 2019, 11:02:36"
29455268,Accepted,"10 May 2019, 22:44:14"
43466934,Accepted,"29 Jun 2019, 08:27:01"
42805430,Accepted,"28 Jul 2019, 18:37:41"
46075113,Accepted,"18 Sep 2019, 22:50:45"
47072902,Accepted,"3 Oct 2019, 07:18:11"
1528091,Accepted,"7 Oct 2019, 18:52:17"
46106123,Accepted,"25 Nov 2019, 10:48:57"
19476318,Accepted,"25 Mar 2020, 18:02:22"
40153835,Accepted,"25 Mar 2020, 20:51:50"
31726809,Accepted,"8 Apr 2020, 17:47:00"
2334827,Accepted,"3 May 2020, 21:04:05"
24426097,Accepted,"10 May 2020, 11:02:01"
